transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,notes
TXN0200053,2025-01-01,1335.6,1335.6,GBP,Metro Bank Credit,Bank Transfer,Bank Transfer - Metro Bank Credit,Debt Payment,Completed,False,High value transaction
TXN0200059,2025-01-01,247.06,247.06,GBP,Pret A Manger,Contactless,Pret A Manger,Food & Drink,Completed,False,
TXN0200067,2025-01-03,202.32,202.32,GBP,Paddy Power,Standing Order,Payment to Paddy Power,Gambling,Completed,False,Gambling transaction
TXN0200018,2025-01-06,181.68,181.68,GBP,Sainsbury's,Refund,Refund - Sainsbury's,Groceries,Completed,False,
TXN0200068,2025-01-06,540.3,540.3,GBP,Virgin Money Credit Card,Purchase,Virgin Money Credit Card,Debt Payment,Completed,False,
TXN0200065,2025-01-08,1435.51,1435.51,GBP,Barclaycard Payment,Refund,Refund - Barclaycard Payment,Debt Payment,Completed,False,High value transaction
TXN0200069,2025-01-09,-77.2,-77.2,GBP,Siansburys,Standing Order,Payment to Siansburys,Error,Completed,False,
TXN0200072,2025-01-10,470.84,470.84,GBP,Sky Bet,Bank Transfer,Payment to Sky Bet,Gambling,Completed,False,Gambling transaction
TXN0200080,2025-01-14,238.46,238.46,GBP,Virgin Atlantic,Purchase,Virgin Atlantic,Travel,Completed,False,
TXN0200006,2025-01-15,49.23,49.23,GBP,Waitrose,ATM Withdrawal,Payment to Waitrose,Groceries,Completed,False,
TXN0200007,2025-01-16,109.51,109.51,GBP,Airbnb,Standing Order,Airbnb,Travel,Completed,False,
TXN0200032,2025-01-19,135.92,135.92,GBP,Sky TV,Mobile Payment,Mobile Payment - Sky TV,Entertainment,Completed,False,
TXN0200092,2025-01-19,111.44,111.44,GBP,Texaco,Standing Order,Texaco - Standing Order,Transport,Completed,False,
TXN0200064,2025-01-19,207.72,207.72,GBP,Costa Coffee,Card Payment,Payment to Costa Coffee,Food & Drink,Completed,False,
TXN0200077,2025-01-22,343.68,343.68,GBP,Octopus Energy,Refund,Octopus Energy,Utilities,Completed,False,
TXN0200019,2025-01-23,180.15,180.15,GBP,888 Casino,Standing Order,888 Casino - Standing Order,Gambling,Completed,False,Gambling transaction
TXN0200075,2025-01-24,319.95,319.95,GBP,Bet365,Online Purchase,Bet365,Gambling,Completed,False,Gambling transaction
TXN0200057,2025-01-25,75.99,75.99,GBP,Tesoc,ATM Withdrawal,Tesoc,Error,Completed,False,
TXN0200058,2025-01-26,224.33,224.33,GBP,Asda,Purchase,Payment to Asda,Groceries,Failed,False,
TXN0200078,2025-01-27,3658.53,3658.53,GBP,Uber,ATM Withdrawal,Uber - ATM Withdrawal,Transport,Completed,False,High value transaction
TXN0200026,2025-01-29,87.96,87.96,GBP,Sainsbury's,Online Purchase,Payment to Sainsbury's,Groceries,Completed,False,
TXN0200099,2025-01-29,30.11,30.11,GBP,Asda,Purchase,Purchase - Asda,Groceries,Completed,False,
TXN0200085,2025-02-01,230.22,230.22,GBP,Shell Petrol,Refund,Shell Petrol,Transport,Completed,False,
TXN0200034,2025-02-02,35.31,35.31,GBP,Spotify,Direct Debit,Spotify,Entertainment,Completed,False,
TXN0200096,2025-02-04,34.52,34.52,GBP,Uber,Direct Debit,Uber - Direct Debit,Transport,Completed,False,
TXN0200055,2025-02-08,-49.55,-49.55,GBP,Thames Water,Online Purchase,Thames Water - Online Purchase,Utilities,Completed,False,
TXN0200079,2025-02-09,66.6,66.6,GBP,Costa Coffee,Standing Order,Costa Coffee - Standing Order,Food & Drink,Completed,False,
TXN0200001,2025-02-09,177.22,177.22,GBP,Amazon UK,Direct Debit,Amazon UK - Direct Debit,Online Shopping,Completed,False,
TXN0200015,2025-02-10,36.99,36.99,GBP,Booking.com,Standing Order,Booking.com,Travel,Completed,False,
TXN0200008,2025-02-10,4793.21,4793.21,GBP,Airbnb,Contactless,Airbnb - Contactless,Travel,Completed,False,High value transaction
TXN0200089,2025-02-11,1439.07,1439.07,GBP,Santander Mortgage,Standing Order,Payment to Santander Mortgage,Debt Payment,Completed,False,High value transaction
TXN0200082,2025-02-11,836.99,836.99,GBP,Cash Withdrawal ATM,Purchase,Cash Withdrawal ATM - Purchase,Unknown,Completed,False,Missing audit trail
TXN0200050,2025-02-13,209.21,209.21,GBP,Shell Petrol,Purchase,Purchase - Shell Petrol,Transport,Completed,False,
TXN0200036,2025-02-15,2328.76,2328.76,GBP,Prada,ATM Withdrawal,Payment to Prada,Luxury,Completed,False,High value transaction
TXN0200074,2025-02-15,113.29,113.29,GBP,National Rail,ATM Withdrawal,Payment to National Rail,Transport,Completed,False,
TXN0200043,2025-02-19,159.83,159.83,GBP,Asda,ATM Withdrawal,Payment to Asda,Groceries,Completed,False,
TXN0200095,2025-02-22,260.95,260.95,GBP,Foreign Exchange,ATM Withdrawal,Payment to Foreign Exchange,Unknown,Failed,False,Missing audit trail
TXN0200056,2025-02-22,108.47,108.47,GBP,Esso,Online Purchase,Payment to Esso,Transport,Completed,False,
TXN0200088,2025-02-23,340.55,340.55,GBP,Bet365,Bank Transfer,Bet365,Gambling,Completed,False,Gambling transaction
TXN0200021,2025-02-24,90.15,90.15,GBP,EasyJet,Refund,Payment to EasyJet,Travel,Completed,False,
TXN0200005,2025-02-25,114.71,114.71,GBP,Sainsbury's,Refund,Refund - Sainsbury's,Groceries,Completed,False,
TXN0200013,2025-02-26,444.81,444.81,GBP,Bet365,Direct Debit,Bet365 - Direct Debit,Gambling,Completed,False,Gambling transaction
TXN0200016,2025-02-28,240.83,240.83,GBP,Texaco,Standing Order,Standing Order - Texaco,Transport,Completed,False,
TXN0200029,2025-04-01,203.24,203.24,GBP,EasyJet,ATM Withdrawal,Payment to EasyJet,Travel,Completed,False,
TXN0200030,2025-04-02,135.74,135.74,GBP,Octopus Energy,Standing Order,Payment to Octopus Energy,Utilities,Completed,False,
TXN0200047,2025-04-05,444.32,444.32,GBP,British Gas,Online Purchase,British Gas - Online Purchase,Utilities,Completed,False,
TXN0200000,2025-04-08,202.94,202.94,GBP,M&S,Mobile Payment,Payment to M&S,Groceries,Completed,False,
TXN0200035,2025-04-08,867.43,867.43,GBP,Dior,Card Payment,Payment to Dior,Luxury,Completed,False,Luxury purchase
